COD. ÁREA,ÁREAS,COD. PERFIL,OFERTAS FORMATIVAS,CARGA HORARIA HS. RELOJ,REQUISITOS DE INGRESO,CERTIFI-CADO,CERTIFI-CACION,PROGRAMACIÓN,INSTRUMENTO LEGAL,OBSERVACIONES
XI,INDUSTRIA TEXTIL,01,HILANDERO ARTESANAL Y TEÑIDO,125,Lecto escritura y Cálculo,Nivel I,Ministerial,Rev. STFP II - F, Expediente Nº 42/12,
,,02,TEJEDOR A TELAR ARTESANAL,250,Lecto escritura y Cálculo,Nivel I,Ministerial,, Expediente Nº 43/12,
,,03,CONFECCIÓN DE PRENDAS EN TELAR,125,Tejedor a Telar Artesanal,Nivel I,Ministerial,Rev. STFP II H,Expediente Nº 53/13,
,,04,TEJEDOR A MANO Y  MÁQUINA,125,Lecto escritura y Cálculo,Nivel I,Ministerial,A Compl.,,
,,05,DISEÑADOR ARTESANAL EN TELAR,125,Primaria o Equivalente + Tejedor a Telar Artesanal,Nivel II,Ministerial,Rev. STFP II C,,
XII, INDUSTRIA DE LA INDUMENTARIA ,01,AUXILIAR DE CORTE Y CONFECCIÓN,120,Primaria o Equivalente,Nivel II,Ministerial ,DC - FORM - 03 - Equipo de Diseño 2024,,
,,03,OPERADOR DE MÁQUINAS PARA LA CONFECCIÓN DE INDUMENTARIA,180,Lecto Escritura y cálculo,Nivel I,Ministerial,Marco de Referencia,Por Res. CFE Nº 150/11 Anexo 13,
,,04,OPERADOR CORTADOR DE INDUMENTARIA INDUSTRIAL,240,Primaria o Equivalente,Nivel II,Ministerial,,Por Res. CFE Nº 150/11 Anexo 12,
,,05,MODELISTA PATRONISTA,240,Primaria o Equivalente,Nivel II,Ministerial,,Por Res. CFE Nº 150/11 Anexo 11,
,,06,COSTURERA/O INDUSTRIAL,250,Lecto escritura y Cálculo,Nivel I,Ministerial ,Rev. STFP II C,,
XIII, INDUSTRIA DEL CUERO,01,CURTIEMBRE ARTESANAL,250,Lecto escritura y Cálculo,Nivel I,Ministerial ,Rev. STFP II H,Expediente Nº 59/14,
,,02,LABOREO ARTESANAL EN CUERO CRUDO - SOGUERÍA,125,Lecto escritura y Cálculo,Nivel I,Ministerial ,Rev. STFP II C,,
,,03,CURTIDO DE PIELES DE PESCADO,125,Lecto escritura y Cálculo,Nivel I,Ministerial ,Rev. STFP II H,Expediente Nº 54/13,
XIV, INDUSTRIA PAPELERA,,,,,,,,,
XV, INDUSTRIA CERAMISTA Y DEL VIDRIO,,,,,,,,,
XVI, INDUSTRIA DEL PLÁSTICO ,,,,,,,,,
XVII, INDUSTRIAS DE PETRÓLEO /GAS,,,,,,,,,
XVIII, INDUSTRIA MINERA,,,,,,,,,
XIX, ACTIVIDAD PESQUERA,,,,,,,,,
XX, PRODUCCIÓN AGROPECUARIA ,01,OPERARIO APÍCOLA,125,Lecto escritura y Cálculo,Nivel I,Ministerial ,Marco de Referencia,Por Res. CFE N° 25/07 Anexo 03,
,,02,ASISTENTE APÍCOLA,250,Primaria o Equivalente,Nivel II,Ministerial ,,Por Res. CFE N° 25/07 Anexo 02,
,,03,APICULTOR,400,Secundario o Equivalente,Nivel III,Ministerial,,Por Res. CFE N° 25/07 Anexo 01,
,,04,AUXILIAR EN PRODUCCIÓN AGROPECUARIA,250,Primaria o Equivalente,Nivel II,Ministerial ,Rev. STFP II B,,
,,05,PRODUCTOR FRUTÍCOLA,175,Aux.en Producción Agropecuaria o acreditar experiencia afín,Nivel II,Ministerial ,Rev. STFP II E, Expediente N° 28/10,
,,06,OPERARIO HORTÍCOLA,180,Lecto escritura y Cálculo,Nivel I,Ministerial ,Marco de Referencia, Por Res. CFE N° 178/12 Anexo 14,
,,07,HORTICULTOR,400,Ciclo Básico o EGB 3,Nivel III,Ministerial ,, Por Res. CFE N° 178/12 Anexo 13,
,,08,PRODUCTOR DE PLANTAS AROMÁTICAS,175,Aux.en Producción Agropecuaria o acreditar experiencia afín,Nivel II,Ministerial ,Rev. STFP II E,Exp.Nº 31/11- Incl. Mód. de Gestión y Comercialización,
,,09,INVENTARIADOR/A,240,Primaria o Equivalente,Nivel II,Ministerial,Marco de Referencia, Por Res. CFE N° 399/21 Anexo V,
,,10,PRODUCTOR/A DE PORCINOS,375,Ciclo Básico o EGB 3,Nivel III,Ministerial ,, Por Res. CFE N° 399/21 Anexo VII,
,,11,OPERARIO EN PRODUCCIÓN LECHERA,240,Lecto  escritura y Cálculo,Nivel I,Ministerial,,Por Res. CFE N° 150/11 Anexo 02,
,,12,ASISTENTE EN PRODUCCIÓN LECHERA,350,Primaria o Equivalente,Nivel II,Ministerial,,Por Res. CFE N° 150/11 Anexo 01,
,,13,ASISTENTE DE PRODUCCION PORCINA,300,Primaria o Equivalente,Nivel II,Ministerial,, Por Res. CFE N° 399/21 Anexo VIII,
